lambda_0.16,lambda_0.17,lambda_0.18,lambda_0.19,lambda_0.2,lambda_0.21,lambda_0.22,lambda_0.23,lambda_0.24,lambda_0.25
5.33,6.33,7.82,8.01,10.11,10.9,12.16,14.54,14.07,16.35
5.32,6.3,7.91,7.97,10.17,10.86,12.24,14.63,14.28,16.35
5.35,6.31,7.92,8.05,10.22,11.01,12.41,14.72,14.47,16.47
5.37,6.34,7.99,8.03,10.26,10.96,12.49,14.86,14.66,16.63
5.42,6.39,8.16,8.02,10.36,10.99,12.61,14.97,14.65,16.77
5.44,6.42,8.13,8.08,10.42,11.08,12.7,14.97,14.71,16.82
5.39,6.45,8.31,8.13,10.62,11.22,12.91,15.1,14.93,16.86
5.3,6.54,8.39,8.25,10.66,11.36,12.95,15.19,15.08,16.95
5.3,6.53,8.32,8.29,10.66,11.43,13.0,15.2,15.15,17.05
5.34,6.44,8.36,8.42,10.78,11.59,13.27,15.23,15.15,17.0
5.42,6.53,8.33,8.43,10.87,11.71,13.37,15.34,15.24,17.0
5.44,6.52,8.27,8.48,10.92,11.75,13.5,15.34,15.27,17.01
5.4,6.59,8.27,8.62,11.07,11.78,13.52,15.37,15.26,17.12
5.45,6.6,8.21,8.7,11.17,11.84,13.63,15.42,15.35,17.27
5.43,6.67,8.15,8.71,11.24,11.87,13.67,15.52,15.46,17.28
5.51,6.66,8.27,8.6,11.34,11.94,13.64,15.71,15.62,17.45
5.52,6.71,8.27,8.62,11.41,11.98,13.83,15.74,15.85,17.57
5.57,6.78,8.37,8.75,11.5,11.98,13.88,15.82,15.84,17.67
5.61,6.79,8.4,8.76,11.56,12.01,13.87,15.81,16.02,17.78
5.6,6.88,8.47,8.93,11.71,12.0,13.94,15.95,16.17,17.95
5.64,6.92,8.5,9.13,11.71,12.03,14.02,16.0,16.15,17.95
5.7,6.88,8.53,9.16,11.76,12.0,14.09,16.14,16.28,18.04
5.76,7.01,8.49,9.1,11.78,12.09,14.1,16.15,16.38,18.25
5.81,7.11,8.57,9.15,11.77,12.17,14.23,16.19,16.49,18.43
5.86,7.15,8.57,9.15,11.79,12.22,14.26,16.29,16.57,18.6
5.87,7.28,8.61,9.15,11.76,12.37,14.32,16.32,16.71,18.7
5.98,7.3,8.66,9.23,11.79,12.39,14.42,16.24,16.83,18.77
5.98,7.29,8.73,9.21,11.81,12.41,14.56,16.3,16.91,18.83
6.05,7.3,8.82,9.31,11.96,12.52,14.61,16.37,17.06,18.86
5.96,7.26,8.92,9.42,12.02,12.69,14.68,16.43,17.13,18.96
6.0,7.23,8.91,9.39,12.05,12.8,14.84,16.72,17.28,18.94
6.0,7.28,8.93,9.44,12.06,12.92,14.89,16.76,17.39,19.03
6.01,7.31,9.01,9.5,12.05,12.99,14.95,16.87,17.47,19.17
6.11,7.37,9.03,9.6,12.13,13.06,15.05,16.99,17.57,19.17
6.15,7.39,9.11,9.67,12.22,13.0,15.15,17.03,17.68,19.25
6.13,7.41,9.18,9.66,12.41,13.09,15.21,17.1,17.8,19.32
6.16,7.36,9.3,9.7,12.51,13.13,15.27,17.24,17.83,19.34
6.19,7.47,9.3,9.71,12.49,13.15,15.32,17.29,17.77,19.39
6.33,7.55,9.42,9.79,12.55,13.21,15.41,17.4,17.87,19.46
6.32,7.63,9.48,9.86,12.46,13.21,15.43,17.45,17.93,19.5
6.25,7.63,9.49,9.96,12.44,13.33,15.47,17.58,18.17,19.54
6.27,7.59,9.49,10.04,12.53,13.43,15.51,17.64,18.23,19.7
6.28,7.67,9.51,10.06,12.56,13.48,15.63,17.65,18.28,19.74
6.27,7.71,9.57,10.13,12.58,13.52,15.72,17.77,18.28,19.77
6.26,7.73,9.59,10.36,12.61,13.56,15.78,17.79,18.3,19.86
6.21,7.79,9.61,10.51,12.75,13.73,15.8,17.89,18.38,19.87
6.29,7.8,9.75,10.51,12.92,13.82,15.84,17.96,18.47,19.95
6.23,7.76,9.77,10.63,12.93,14.01,15.97,18.04,18.55,20.05
6.29,7.85,9.77,10.65,13.04,14.19,15.93,18.21,18.57,20.18
6.41,7.85,9.77,10.73,13.06,14.27,15.98,18.29,18.59,20.22
6.43,7.89,9.84,10.74,13.08,14.4,15.95,18.39,18.75,20.15
6.46,7.87,9.93,10.88,13.04,14.43,15.89,18.37,18.83,20.3
6.41,7.77,10.0,10.84,13.12,14.41,15.85,18.4,18.91,20.37
6.37,7.75,10.0,10.81,13.15,14.5,15.96,18.48,19.07,20.43
6.38,7.75,10.12,10.88,13.2,14.45,16.04,18.58,19.14,20.56
6.31,7.76,10.18,10.91,13.3,14.48,16.16,18.52,19.22,20.69
6.36,7.86,10.18,10.96,13.43,14.53,16.18,18.61,19.26,20.81
6.33,8.0,10.2,11.01,13.42,14.54,16.2,18.8,19.49,20.9
6.4,8.08,10.17,11.13,13.42,14.6,16.31,18.77,19.47,20.93
6.47,8.18,10.2,11.34,13.43,14.77,16.46,18.86,19.62,21.05
6.54,8.16,10.18,11.33,13.52,14.77,16.5,19.02,19.69,21.09
6.54,8.06,10.15,11.28,13.64,14.78,16.53,19.05,19.73,21.2
6.68,8.12,10.14,11.32,13.72,14.89,16.47,19.1,19.73,21.38
6.72,8.13,10.23,11.36,13.7,14.97,16.47,19.16,19.8,21.41
6.75,8.19,10.31,11.47,13.75,14.98,16.49,19.19,19.91,21.55
6.77,8.3,10.35,11.53,13.8,14.99,16.51,19.26,20.03,21.7
6.77,8.37,10.37,11.58,13.92,15.03,16.37,19.38,20.13,21.74
6.75,8.3,10.37,11.59,13.93,15.12,16.5,19.36,20.22,21.86
6.75,8.29,10.42,11.65,13.94,15.22,16.58,19.37,20.27,21.94
6.77,8.26,10.55,11.8,14.01,15.3,16.74,19.4,20.34,22.08
6.75,8.31,10.63,11.74,14.02,15.35,16.76,19.53,20.51,22.2
6.75,8.39,10.73,11.8,14.09,15.4,16.91,19.64,20.56,22.25
6.8,8.47,10.65,11.92,14.15,15.41,16.99,19.69,20.62,22.53
6.8,8.55,10.64,11.94,14.1,15.43,17.01,19.66,20.72,22.54
6.84,8.47,10.66,11.92,14.07,15.54,17.16,19.88,20.76,22.69
6.92,8.46,10.7,12.0,14.2,15.64,17.2,20.02,20.87,22.79
6.99,8.48,10.69,12.04,14.19,15.7,17.27,20.16,21.03,22.82
6.91,8.51,10.81,12.12,14.22,15.78,17.33,20.31,21.06,22.76
6.92,8.62,10.85,12.11,14.24,15.74,17.41,20.42,21.11,22.8
6.86,8.66,10.91,12.11,14.31,15.85,17.46,20.48,21.16,22.86
6.9,8.68,10.87,12.12,14.37,15.85,17.48,20.49,21.25,23.1
6.98,8.68,10.75,12.22,14.38,15.83,17.6,20.56,21.35,23.16
7.06,8.71,10.68,12.23,14.44,15.87,17.62,20.7,21.44,23.26
7.14,8.66,10.7,12.24,14.56,15.94,17.6,20.8,21.51,23.44
7.1,8.71,10.64,12.26,14.56,15.99,17.59,20.95,21.6,23.61
7.05,8.73,10.7,12.37,14.54,16.06,17.55,20.94,21.8,23.77
7.14,8.77,10.81,12.5,14.55,16.08,17.77,20.94,21.88,24.01
7.07,8.81,10.89,12.53,14.59,16.16,17.78,21.0,22.02,24.15
7.19,8.82,10.92,12.58,14.64,16.14,17.84,20.99,22.07,24.32
7.18,8.84,10.98,12.62,14.67,16.26,17.89,21.01,22.17,24.41
7.17,8.95,11.06,12.68,14.73,16.33,18.03,21.05,22.22,24.51
7.24,9.02,11.02,12.67,14.8,16.43,18.17,20.93,22.42,24.65
7.33,8.98,11.03,12.75,14.82,16.51,18.2,20.97,22.56,24.77
7.4,9.07,11.02,12.73,14.74,16.5,18.27,21.1,22.69,24.82
7.42,9.11,11.07,12.76,14.66,16.59,18.24,21.16,22.83,24.92
7.47,9.1,11.2,12.73,14.74,16.65,18.32,21.23,22.89,25.02
7.48,9.05,11.13,12.77,14.81,16.73,18.41,21.32,22.91,25.04
7.54,9.07,11.13,12.9,14.92,16.75,18.47,21.33,22.95,25.17
7.44,9.02,11.06,12.94,14.96,16.76,18.49,21.5,23.13,25.28
7.42,9.13,11.16,13.06,15.01,16.77,18.53,21.7,23.25,25.38
7.48,9.07,11.23,13.06,14.99,16.8,18.67,21.75,23.34,25.51
7.45,9.09,11.39,13.15,15.05,16.9,18.92,21.77,23.38,25.65
7.5,9.1,11.43,13.21,15.18,17.02,18.95,21.83,23.53,25.77
7.45,9.12,11.43,13.24,15.18,16.94,19.03,21.96,23.72,25.84
7.33,9.19,11.35,13.24,15.18,17.05,19.06,22.11,23.92,25.89
7.36,9.32,11.35,13.3,15.18,17.15,18.98,22.26,24.04,26.03
7.3,9.3,11.49,13.34,15.21,17.28,19.05,22.38,24.17,26.17
7.36,9.29,11.46,13.45,15.34,17.39,19.17,22.39,24.2,26.24
7.32,9.28,11.42,13.56,15.43,17.37,19.13,22.48,24.37,26.3
7.27,9.38,11.59,13.66,15.56,17.44,19.21,22.58,24.57,26.36
7.23,9.36,11.62,13.7,15.7,17.43,19.33,22.81,24.72,26.36
7.23,9.35,11.77,13.8,15.76,17.55,19.37,22.94,24.87,26.49
7.32,9.39,11.75,13.88,15.81,17.6,19.28,22.96,24.96,26.57
7.2,9.44,11.84,13.95,15.87,17.74,19.42,23.03,25.02,26.69
7.11,9.52,11.94,14.06,15.9,17.81,19.52,23.13,25.18,26.81
7.16,9.54,12.03,14.21,16.03,17.96,19.58,23.2,25.25,26.93
7.11,9.56,12.02,14.19,16.06,18.02,19.65,23.35,25.3,27.1
7.15,9.58,12.09,14.11,16.03,17.97,19.83,23.43,25.48,27.3
7.18,9.58,12.09,14.22,16.1,18.0,19.97,23.55,25.67,27.36
7.15,9.64,12.18,14.31,16.19,18.07,20.06,23.67,25.75,27.36
7.17,9.7,12.28,14.44,16.29,18.2,20.13,23.67,25.86,27.5
7.25,9.66,12.22,14.51,16.31,18.2,20.25,23.78,25.92,27.58
7.3,9.63,12.3,14.67,16.25,18.27,20.44,23.87,26.02,27.63
7.41,9.61,12.28,14.75,16.34,18.36,20.52,23.87,26.15,27.84
7.42,9.64,12.33,14.67,16.45,18.45,20.57,23.87,26.14,27.94
