lambda_0.16,lambda_0.17,lambda_0.18,lambda_0.19,lambda_0.2,lambda_0.21,lambda_0.22,lambda_0.23,lambda_0.24,lambda_0.25
58.15,93.62,125.03,166.48,203.71,248.99,289.99,328.02,370.0,411.79
58.13,93.66,124.97,166.44,203.75,248.99,290.07,328.1,370.04,411.96
58.16,93.71,124.98,166.46,203.85,249.04,290.09,328.05,370.14,411.97
58.19,93.66,124.94,166.44,203.97,249.1,290.19,328.03,370.2,412.09
58.09,93.8,125.0,166.49,204.15,249.11,290.2,328.09,370.27,412.26
58.03,93.89,124.99,166.62,204.22,249.13,290.19,328.17,370.45,412.37
57.99,93.93,125.02,166.66,204.31,249.3,290.37,328.34,370.57,412.43
58.01,93.92,125.16,166.73,204.4,249.36,290.44,328.42,370.78,412.49
58.03,93.79,125.18,166.69,204.38,249.43,290.54,328.44,370.81,412.58
58.09,93.78,125.25,166.73,204.4,249.47,290.61,328.47,370.9,412.65
58.11,93.85,125.32,166.63,204.51,249.43,290.57,328.46,370.96,412.74
58.19,93.87,125.41,166.83,204.56,249.49,290.58,328.53,371.02,412.81
58.23,93.9,125.52,166.82,204.63,249.58,290.71,328.51,371.14,412.89
58.19,94.03,125.63,166.9,204.72,249.7,290.77,328.5,371.21,413.08
58.21,94.08,125.64,166.91,204.76,249.74,290.86,328.63,371.27,413.23
58.22,94.14,125.61,167.01,204.77,249.87,290.83,328.67,371.34,413.23
58.29,94.14,125.64,166.97,205.01,249.88,290.89,328.81,371.29,413.34
58.38,94.16,125.75,166.96,205.13,249.99,290.9,328.82,371.41,413.36
58.37,94.2,125.77,167.03,205.18,250.01,290.89,328.89,371.62,413.51
58.26,94.18,125.74,166.92,205.38,249.97,290.89,329.1,371.66,413.58
58.24,94.23,125.66,166.94,205.48,250.07,290.88,329.07,371.74,413.73
58.25,94.3,125.74,167.01,205.53,250.13,290.97,329.11,371.81,413.81
58.27,94.33,125.74,167.12,205.62,250.29,291.08,329.16,371.9,413.96
58.37,94.37,125.68,167.09,205.69,250.25,291.2,329.28,371.93,413.96
58.38,94.37,125.58,167.08,205.8,250.33,291.33,329.32,371.98,414.04
58.43,94.46,125.65,167.11,205.91,250.31,291.39,329.47,372.19,414.1
58.48,94.47,125.66,167.2,205.94,250.41,291.54,329.46,372.27,414.21
58.51,94.52,125.65,167.18,206.08,250.42,291.59,329.62,372.27,414.3
58.58,94.52,125.64,167.18,206.04,250.35,291.69,329.63,372.44,414.35
58.65,94.55,125.69,167.13,206.22,250.49,291.78,329.77,372.46,414.49
58.65,94.52,125.62,167.23,206.27,250.49,291.81,329.84,372.55,414.59
58.68,94.56,125.64,167.16,206.28,250.55,291.86,329.93,372.55,414.69
58.75,94.63,125.69,167.14,206.38,250.53,291.99,330.08,372.62,414.83
58.71,94.65,125.72,167.18,206.38,250.56,292.01,330.2,372.7,414.97
58.85,94.63,125.74,167.1,206.44,250.62,292.04,330.27,372.8,415.05
58.88,94.78,125.79,167.13,206.51,250.71,292.09,330.39,372.98,415.06
58.91,94.82,125.78,167.12,206.42,250.81,292.15,330.59,373.1,415.12
58.92,94.91,125.74,167.19,206.4,250.91,292.36,330.63,373.24,415.25
58.97,94.93,125.77,167.15,206.49,250.86,292.43,330.69,373.29,415.33
58.96,94.86,125.88,167.16,206.54,250.89,292.37,330.75,373.21,415.46
58.86,94.88,125.96,167.15,206.72,250.96,292.42,330.79,373.3,415.65
58.88,94.93,126.15,167.16,206.82,251.04,292.52,331.02,373.25,415.78
59.0,94.95,126.18,167.11,207.0,251.12,292.6,331.17,373.42,415.77
59.09,94.96,126.17,167.11,207.02,251.19,292.72,331.29,373.52,415.82
59.11,95.01,126.28,167.12,207.1,251.13,292.79,331.38,373.75,415.88
59.19,94.99,126.21,167.2,207.06,251.2,292.91,331.33,373.84,416.0
59.13,94.99,126.28,167.25,207.11,251.23,293.02,331.24,373.94,416.07
59.11,95.02,126.19,167.3,207.19,251.34,292.94,331.39,374.06,416.17
59.12,94.97,126.16,167.35,207.17,251.48,293.0,331.55,374.26,416.14
59.18,95.04,126.15,167.34,207.23,251.58,293.02,331.58,374.34,416.18
59.27,95.2,126.15,167.4,207.38,251.69,293.12,331.64,374.5,416.22
59.25,95.22,126.27,167.44,207.37,251.73,293.07,331.63,374.56,416.27
59.3,95.27,126.32,167.5,207.4,251.86,293.13,331.61,374.74,416.41
59.3,95.3,126.32,167.51,207.54,251.86,293.15,331.7,374.79,416.49
59.27,95.37,126.29,167.43,207.55,251.92,293.21,331.69,374.84,416.66
59.24,95.36,126.3,167.58,207.53,252.06,293.33,331.83,374.97,416.85
59.22,95.42,126.27,167.62,207.63,252.16,293.49,331.94,374.9,416.88
59.28,95.35,126.23,167.67,207.65,252.22,293.57,332.08,374.94,416.99
59.3,95.4,126.26,167.75,207.75,252.25,293.6,332.21,374.98,417.16
59.38,95.43,126.33,167.74,207.79,252.33,293.73,332.28,375.17,417.26
59.32,95.4,126.37,167.87,207.9,252.42,293.76,332.38,375.19,417.39
59.27,95.41,126.44,167.88,207.99,252.54,293.88,332.41,375.26,417.54
59.18,95.41,126.47,167.94,208.02,252.69,293.94,332.56,375.26,417.66
59.19,95.45,126.39,167.9,208.09,252.68,294.0,332.5,375.35,417.88
59.22,95.45,126.38,168.04,208.11,252.62,294.06,332.58,375.52,418.04
59.31,95.47,126.43,168.07,208.25,252.75,294.18,332.69,375.56,418.09
59.22,95.53,126.46,168.12,208.35,252.85,294.32,332.89,375.64,418.15
59.32,95.56,126.48,168.2,208.49,252.89,294.43,333.02,375.81,418.31
59.37,95.58,126.44,168.36,208.48,253.03,294.55,333.16,375.93,418.35
59.39,95.63,126.48,168.42,208.59,253.06,294.75,333.14,376.02,418.33
59.45,95.61,126.56,168.4,208.64,253.1,294.86,333.27,376.23,418.28
59.4,95.61,126.51,168.5,208.77,253.18,294.87,333.5,376.39,418.44
59.4,95.63,126.44,168.57,208.78,253.25,294.81,333.57,376.49,418.61
59.45,95.68,126.46,168.6,208.94,253.36,294.83,333.63,376.57,418.72
59.5,95.68,126.44,168.6,209.06,253.4,294.92,333.66,376.67,418.87
59.51,95.72,126.47,168.63,209.07,253.44,294.93,333.72,376.78,419.08
59.51,95.7,126.52,168.64,209.19,253.55,295.07,333.8,376.71,419.11
59.43,95.75,126.48,168.67,209.19,253.56,295.14,333.98,376.87,419.22
59.48,95.72,126.51,168.82,209.3,253.64,295.12,334.01,376.97,419.28
59.47,95.66,126.54,168.78,209.38,253.76,295.22,334.05,377.1,419.45
59.46,95.67,126.55,168.82,209.42,253.84,295.2,334.1,377.23,419.54
59.58,95.66,126.59,168.89,209.41,253.84,295.36,334.24,377.37,419.73
59.58,95.62,126.53,168.99,209.54,253.98,295.42,334.4,377.41,419.88
59.53,95.66,126.52,169.09,209.6,254.11,295.48,334.44,377.52,419.99
59.54,95.67,126.56,169.14,209.76,254.21,295.61,334.47,377.58,420.11
59.57,95.7,126.53,169.15,209.71,254.3,295.66,334.42,377.68,420.11
59.68,95.69,126.46,169.15,209.69,254.33,295.75,334.57,377.78,420.24
59.73,95.63,126.54,169.29,209.79,254.32,295.82,334.57,377.85,420.39
59.64,95.74,126.64,169.37,209.83,254.46,295.81,334.56,377.88,420.44
59.67,95.73,126.61,169.47,209.93,254.61,295.79,334.63,377.93,420.48
59.69,95.77,126.61,169.53,209.98,254.7,295.82,334.74,378.07,420.61
59.72,95.72,126.56,169.6,209.97,254.7,295.85,334.7,378.17,420.76
59.65,95.76,126.6,169.55,210.06,254.79,295.82,334.75,378.35,420.8
59.74,95.78,126.65,169.68,210.25,254.82,295.82,334.81,378.49,420.91
59.73,95.82,126.57,169.71,210.29,254.93,295.84,334.79,378.4,420.95
59.73,95.8,126.61,169.82,210.43,254.91,295.85,334.86,378.45,420.99
59.69,95.8,126.62,169.75,210.46,254.99,295.88,335.01,378.43,421.09
59.73,95.8,126.69,169.79,210.39,255.01,296.0,335.21,378.61,421.19
59.71,95.71,126.78,169.8,210.47,255.04,296.04,335.34,378.73,421.3
59.7,95.75,126.77,169.95,210.58,255.07,296.2,335.48,378.86,421.38
59.77,95.84,126.79,169.94,210.51,255.08,296.35,335.63,378.89,421.57
59.84,95.84,126.8,169.99,210.56,255.17,296.46,335.63,379.01,421.68
59.91,95.95,126.86,170.04,210.6,255.15,296.57,335.66,379.1,421.77
59.86,96.04,126.95,170.02,210.62,255.3,296.71,335.86,379.14,421.85
59.91,96.03,127.03,170.13,210.76,255.44,296.72,336.06,379.26,421.89
59.87,96.13,127.13,170.18,210.74,255.61,296.75,336.09,379.31,422.06
59.92,96.17,127.25,170.25,210.67,255.68,296.84,336.13,379.45,422.15
59.94,96.22,127.31,170.24,210.75,255.77,296.87,336.27,379.57,422.2
59.97,96.24,127.35,170.22,210.81,255.86,296.84,336.27,379.74,422.32
59.97,96.11,127.39,170.32,210.86,255.95,296.86,336.31,379.72,422.42
59.96,96.01,127.43,170.26,210.9,255.98,296.93,336.35,379.93,422.57
60.03,96.05,127.4,170.24,210.91,256.08,296.94,336.41,380.1,422.71
60.01,96.06,127.38,170.37,210.95,256.11,296.91,336.48,380.18,422.8
60.11,95.94,127.35,170.39,210.98,256.28,296.9,336.47,380.21,422.88
60.08,95.86,127.35,170.44,211.03,256.28,296.97,336.37,380.4,422.89
60.0,95.86,127.47,170.44,211.04,256.31,297.08,336.52,380.51,423.03
59.99,95.83,127.52,170.51,211.04,256.46,297.11,336.58,380.48,423.08
59.97,95.87,127.6,170.56,211.11,256.59,297.14,336.66,380.62,423.13
59.96,95.79,127.66,170.59,211.13,256.64,297.14,336.89,380.71,423.29
60.0,95.91,127.68,170.63,211.2,256.69,297.16,336.92,380.85,423.38
59.91,95.88,127.79,170.69,211.34,256.72,297.1,337.0,381.02,423.48
59.94,95.86,127.81,170.7,211.29,256.75,297.19,336.96,381.1,423.53
59.92,95.91,127.94,170.72,211.31,256.9,297.18,336.99,381.2,423.6
59.91,95.96,127.99,170.7,211.37,256.93,297.25,337.04,381.25,423.7
59.93,96.03,127.99,170.76,211.44,256.86,297.29,337.06,381.35,423.74
59.95,95.98,128.01,170.8,211.43,256.91,297.27,337.05,381.43,423.88
60.06,95.98,128.05,170.75,211.5,257.03,297.28,337.02,381.64,423.95
60.04,96.0,128.12,170.76,211.54,257.04,297.32,337.05,381.68,423.99
59.98,95.97,128.14,170.76,211.64,257.12,297.33,337.2,381.71,424.11
60.02,95.94,128.18,170.77,211.7,257.14,297.34,337.19,381.74,424.2
60.01,95.97,128.18,170.85,211.72,257.19,297.46,337.3,381.92,424.35
59.94,95.98,128.2,170.93,211.82,257.21,297.5,337.39,381.94,424.47
59.93,95.94,128.38,171.05,211.83,257.28,297.46,337.41,382.07,424.63
59.89,95.99,128.44,171.04,211.94,257.23,297.56,337.53,382.07,424.72
59.9,96.07,128.52,171.1,212.04,257.33,297.63,337.58,382.11,424.86
59.87,96.08,128.54,171.19,212.06,257.31,297.64,337.67,382.17,424.98
59.91,96.06,128.73,171.27,212.11,257.4,297.65,337.71,382.27,425.1
59.99,95.95,128.75,171.34,212.1,257.46,297.78,337.68,382.39,425.18
60.02,95.93,128.8,171.38,212.19,257.56,297.92,337.7,382.42,425.35
59.97,95.98,128.8,171.37,212.21,257.74,297.94,337.81,382.58,425.5
59.99,95.93,128.8,171.42,212.22,257.83,298.07,337.82,382.69,425.63
59.98,96.08,128.83,171.49,212.15,257.88,298.17,337.9,382.76,425.73
60.03,96.04,128.92,171.5,212.23,257.88,298.21,337.91,382.88,425.84
60.09,96.07,128.99,171.47,212.19,257.87,298.29,337.84,382.97,425.94
60.11,96.11,129.09,171.55,212.23,257.93,298.38,337.93,383.03,425.9
60.09,96.1,129.1,171.67,212.21,258.04,298.51,337.98,383.11,426.02
60.09,96.07,129.11,171.73,212.2,258.15,298.54,338.06,383.16,426.22
60.07,96.01,129.15,171.69,212.28,258.2,298.53,338.12,383.35,426.33
60.04,96.07,129.14,171.7,212.45,258.22,298.73,338.19,383.53,426.35
60.08,96.02,129.18,171.76,212.49,258.42,298.79,338.3,383.61,426.47
60.09,96.1,129.25,171.82,212.59,258.44,298.82,338.36,383.81,426.57
60.16,96.22,129.27,171.88,212.66,258.46,298.85,338.46,383.94,426.7
60.16,96.27,129.37,171.88,212.68,258.43,298.91,338.53,384.04,426.81
60.11,96.29,129.37,171.95,212.73,258.43,298.99,338.64,384.21,426.97
60.2,96.26,129.31,171.83,212.81,258.46,299.01,338.66,384.32,427.02
60.25,96.25,129.43,171.83,212.78,258.57,299.2,338.8,384.49,427.01
60.31,96.34,129.57,171.85,212.83,258.67,299.26,338.94,384.58,427.1
60.24,96.42,129.7,171.91,212.81,258.91,299.35,339.04,384.63,427.21
60.27,96.55,129.71,171.93,212.89,258.88,299.4,339.15,384.7,427.41
60.34,96.57,129.82,171.95,212.86,258.78,299.46,339.2,384.76,427.59
60.39,96.49,129.79,171.95,213.02,258.81,299.59,339.34,384.81,427.67
60.35,96.44,129.79,171.95,213.15,258.96,299.59,339.35,384.89,427.73
60.35,96.45,129.78,171.87,213.22,259.03,299.5,339.42,385.0,427.95
60.39,96.41,129.93,171.88,213.32,259.17,299.59,339.46,385.02,427.98
60.4,96.5,129.97,172.02,213.4,259.24,299.64,339.56,385.19,428.1
60.48,96.4,129.98,171.99,213.42,259.19,299.74,339.61,385.24,428.1
60.48,96.31,129.95,172.01,213.47,259.18,299.91,339.66,385.35,428.23
60.5,96.39,129.9,172.08,213.6,259.3,299.98,339.76,385.54,428.2
60.51,96.46,129.91,172.07,213.71,259.31,299.99,339.83,385.7,428.34
60.56,96.43,129.94,172.1,213.76,259.37,300.18,339.95,385.81,428.47
60.64,96.39,129.99,172.09,213.78,259.39,300.31,339.99,385.9,428.64
60.59,96.41,130.0,172.2,213.93,259.48,300.44,340.04,385.99,428.78
60.63,96.35,129.97,172.25,213.97,259.57,300.53,340.11,386.13,428.95
60.63,96.31,130.14,172.32,213.93,259.66,300.65,340.19,386.2,429.02
60.57,96.32,130.21,172.33,214.0,259.75,300.76,340.33,386.43,429.13
60.64,96.38,130.23,172.42,213.99,259.78,300.78,340.48,386.59,429.15
60.6,96.42,130.3,172.46,213.98,259.77,300.88,340.58,386.67,429.29
60.64,96.42,130.29,172.59,214.03,259.84,300.95,340.75,386.78,429.42
60.62,96.49,130.27,172.58,214.1,259.82,301.0,340.82,386.88,429.56
60.64,96.54,130.3,172.58,214.11,259.83,301.01,340.83,386.93,429.58
60.74,96.68,130.27,172.59,214.15,259.87,301.0,340.84,387.07,429.68
60.79,96.73,130.23,172.64,214.16,259.96,301.07,340.93,387.21,429.69
60.88,96.8,130.31,172.6,214.21,259.88,301.08,340.89,387.23,429.78
60.85,96.87,130.32,172.65,214.28,259.91,301.21,341.01,387.38,429.85
60.9,96.82,130.32,172.77,214.3,260.01,301.28,341.06,387.45,429.97
60.89,96.83,130.39,172.83,214.3,260.12,301.35,341.28,387.46,430.04
60.86,96.73,130.43,172.94,214.44,260.21,301.34,341.23,387.6,430.18
60.89,96.74,130.43,173.05,214.47,260.41,301.48,341.36,387.78,430.35
60.8,96.67,130.58,173.01,214.59,260.53,301.51,341.44,387.8,430.49
60.84,96.68,130.61,173.07,214.62,260.6,301.62,341.59,387.87,430.64
60.82,96.76,130.6,173.09,214.75,260.64,301.66,341.6,387.96,430.74
60.87,96.64,130.62,173.18,214.83,260.63,301.68,341.65,388.01,430.85
60.85,96.6,130.7,173.26,214.97,260.71,301.73,341.71,388.14,430.8
60.84,96.61,130.69,173.35,215.04,260.79,301.8,341.82,388.3,430.82
60.85,96.72,130.71,173.44,215.11,260.75,301.93,341.94,388.38,430.85
60.74,96.74,130.76,173.47,215.21,260.81,302.03,341.91,388.58,430.97
60.67,96.81,130.85,173.56,215.24,260.78,302.02,342.04,388.71,431.0
60.69,96.89,130.76,173.64,215.3,260.81,302.08,342.11,388.77,431.0
60.77,96.83,130.68,173.71,215.35,260.98,302.13,342.16,388.87,431.02
60.71,96.85,130.76,173.87,215.47,261.05,302.17,342.24,389.08,431.11
60.7,96.8,130.78,173.82,215.68,261.05,302.22,342.38,389.1,431.19
60.7,96.83,130.8,173.81,215.68,261.18,302.26,342.5,389.21,431.29
60.7,96.97,130.87,173.86,215.8,261.24,302.42,342.58,389.23,431.39
60.61,96.93,130.88,173.92,215.83,261.27,302.49,342.61,389.17,431.48
60.63,97.0,130.84,173.89,215.89,261.4,302.56,342.75,389.23,431.53
60.68,97.09,130.91,173.88,215.96,261.4,302.58,342.84,389.29,431.59
60.71,97.09,130.94,173.87,216.08,261.53,302.58,342.92,389.31,431.76
60.75,97.19,130.95,173.92,216.16,261.61,302.68,342.96,389.3,431.8
60.67,97.21,131.04,174.06,216.25,261.61,302.73,343.1,389.33,431.98
60.77,97.25,131.09,174.04,216.39,261.68,302.83,343.19,389.47,432.06
60.79,97.31,131.07,174.2,216.37,261.67,302.97,343.28,389.45,432.06
60.78,97.26,131.11,174.27,216.37,261.66,303.12,343.41,389.56,432.16
60.77,97.36,131.18,174.2,216.4,261.65,303.25,343.48,389.69,432.35
60.82,97.32,131.21,174.29,216.39,261.64,303.37,343.57,389.79,432.46
60.86,97.29,131.31,174.27,216.41,261.7,303.4,343.64,389.96,432.52
60.88,97.31,131.33,174.32,216.44,261.87,303.47,343.73,390.09,432.56
60.92,97.41,131.3,174.25,216.53,261.9,303.57,343.88,390.26,432.73
60.86,97.45,131.35,174.45,216.57,261.96,303.69,344.0,390.32,432.78
60.91,97.5,131.39,174.46,216.55,262.09,303.76,344.16,390.41,432.85
60.94,97.53,131.4,174.54,216.69,262.2,303.95,344.24,390.4,432.9
60.99,97.63,131.46,174.62,216.7,262.11,303.85,344.33,390.52,432.94
60.98,97.73,131.49,174.77,216.75,262.21,303.88,344.37,390.63,432.94
61.07,97.8,131.57,174.91,216.75,262.17,304.03,344.41,390.6,433.02
61.03,97.84,131.61,174.9,216.74,262.2,304.05,344.47,390.59,433.11
61.1,97.75,131.65,174.93,216.91,262.34,304.18,344.6,390.61,433.17
61.04,97.82,131.6,174.91,216.95,262.44,304.31,344.65,390.66,433.28
61.08,97.85,131.65,174.96,216.94,262.54,304.4,344.82,390.68,433.43
61.17,97.89,131.8,175.03,217.02,262.61,304.44,344.79,390.65,433.51
61.13,97.98,131.85,175.06,217.14,262.64,304.53,344.88,390.73,433.71
61.21,98.0,131.93,175.07,217.21,262.65,304.6,344.98,390.88,433.75
61.22,98.16,131.87,175.09,217.22,262.69,304.68,345.15,390.95,433.89
61.17,98.23,131.98,175.18,217.23,262.76,304.74,345.16,390.94,434.12
61.26,98.21,132.12,175.29,217.26,262.93,304.85,345.17,390.94,434.31
61.2,98.21,132.11,175.25,217.37,262.91,304.79,345.16,391.03,434.32
61.09,98.21,132.08,175.26,217.38,263.0,305.0,345.37,391.0,434.39
61.07,98.33,132.15,175.27,217.36,263.09,305.14,345.54,391.09,434.54
61.21,98.22,132.11,175.3,217.43,263.04,305.25,345.58,391.22,434.67
61.21,98.21,132.18,175.34,217.46,263.15,305.28,345.67,391.37,434.67
61.25,98.27,132.13,175.25,217.54,263.13,305.34,345.68,391.4,434.85
61.3,98.25,132.21,175.2,217.58,263.1,305.38,345.7,391.42,435.02
61.21,98.34,132.32,175.26,217.63,263.2,305.53,345.8,391.59,435.15
61.28,98.34,132.44,175.37,217.58,263.28,305.57,345.97,391.6,435.18
61.26,98.41,132.37,175.21,217.59,263.32,305.63,346.0,391.72,435.29
61.22,98.52,132.55,175.2,217.81,263.39,305.63,346.04,391.81,435.43
61.21,98.5,132.6,175.28,217.82,263.49,305.63,346.07,391.98,435.61
61.22,98.5,132.58,175.29,217.94,263.51,305.72,346.15,392.11,435.86
61.35,98.53,132.62,175.48,217.97,263.58,305.77,346.3,392.13,436.04
61.29,98.56,132.68,175.46,218.03,263.62,305.94,346.29,392.31,436.15
61.33,98.66,132.82,175.56,218.18,263.7,306.04,346.42,392.32,436.32
61.32,98.66,132.94,175.53,218.21,263.77,306.06,346.55,392.45,436.5
61.28,98.67,133.06,175.55,218.18,263.8,306.17,346.69,392.56,436.61
61.36,98.65,133.06,175.71,218.17,263.96,306.26,346.71,392.69,436.78
61.39,98.77,133.12,175.74,218.31,263.96,306.27,346.8,392.64,436.86
61.48,98.8,133.08,175.73,218.37,264.0,306.34,346.83,392.65,437.0
61.44,98.92,133.19,175.74,218.49,264.1,306.48,346.94,392.72,437.03
61.44,98.81,133.23,175.79,218.57,264.09,306.56,347.06,392.76,437.09
61.46,98.92,133.26,175.89,218.65,264.25,306.79,347.04,392.86,437.17
61.43,98.95,133.32,175.97,218.73,264.25,306.86,347.16,392.86,437.2
61.44,99.01,133.27,175.93,218.78,264.38,307.0,347.2,392.96,437.24
61.48,99.15,133.21,175.92,218.83,264.42,306.99,347.3,393.07,437.42
61.59,99.2,133.25,176.04,218.89,264.42,307.06,347.4,393.17,437.49
61.46,99.27,133.37,176.09,218.96,264.46,307.1,347.62,393.19,437.64
61.47,99.27,133.36,176.07,219.04,264.41,307.11,347.6,393.37,437.63
61.52,99.35,133.5,176.06,219.11,264.43,307.18,347.65,393.38,437.74
61.57,99.39,133.57,176.1,219.17,264.55,307.29,347.64,393.43,437.74
61.61,99.36,133.6,176.05,219.28,264.59,307.3,347.73,393.57,437.73
61.54,99.35,133.57,176.09,219.38,264.57,307.45,347.86,393.71,437.82
61.55,99.38,133.63,176.1,219.43,264.57,307.57,347.96,393.78,437.89
61.57,99.42,133.66,176.09,219.5,264.72,307.64,347.9,393.89,438.05
61.65,99.47,133.65,176.14,219.52,264.71,307.77,347.93,394.02,438.1
61.78,99.52,133.68,176.21,219.57,264.75,307.72,348.08,394.14,438.14
61.83,99.5,133.59,176.26,219.61,264.82,307.71,348.03,394.19,438.26
61.85,99.46,133.63,176.35,219.61,264.85,307.79,348.13,394.27,438.25
61.98,99.44,133.6,176.3,219.68,264.89,307.93,348.16,394.43,438.24
61.98,99.48,133.56,176.3,219.76,265.0,308.04,348.22,394.55,438.37
62.0,99.51,133.58,176.41,219.85,265.16,308.05,348.31,394.66,438.43
61.96,99.48,133.59,176.46,219.94,265.21,308.1,348.32,394.83,438.55
61.96,99.51,133.67,176.49,219.92,265.28,308.07,348.43,394.89,438.53
62.01,99.58,133.72,176.54,220.1,265.34,308.04,348.4,394.9,438.7
62.06,99.59,133.77,176.6,220.18,265.35,308.18,348.47,395.0,438.8
62.12,99.65,133.87,176.6,220.32,265.39,308.27,348.55,395.06,438.85
62.1,99.75,133.91,176.54,220.4,265.53,308.39,348.5,395.12,438.97
62.04,99.95,134.01,176.63,220.57,265.6,308.57,348.56,395.12,439.07
62.08,99.96,134.06,176.68,220.59,265.77,308.63,348.67,395.25,439.16
62.09,99.99,134.23,176.78,220.62,265.87,308.61,348.63,395.2,439.3
62.05,100.05,134.3,176.85,220.7,265.9,308.65,348.68,395.33,439.43
62.08,100.03,134.4,176.95,220.67,265.92,308.69,348.7,395.45,439.55
62.1,100.01,134.52,177.04,220.89,266.06,308.85,348.7,395.59,439.57
62.05,100.05,134.57,177.09,220.88,266.17,308.97,348.85,395.69,439.74
62.06,100.18,134.64,177.19,220.88,266.31,308.94,348.95,395.92,439.74
62.03,100.21,134.68,177.25,220.96,266.29,309.01,349.03,396.08,439.88
62.01,100.19,134.8,177.34,221.08,266.39,309.09,349.1,396.16,439.94
62.05,100.2,134.87,177.39,221.11,266.53,309.1,349.14,396.33,439.96
62.0,100.2,134.9,177.46,221.16,266.67,309.09,349.32,396.44,440.04
61.95,100.14,134.95,177.57,221.26,266.74,309.17,349.39,396.52,440.2
61.92,100.24,134.86,177.6,221.33,266.66,309.32,349.5,396.62,440.38
61.98,100.21,134.93,177.67,221.44,266.72,309.4,349.61,396.6,440.53
62.0,100.24,134.94,177.68,221.44,266.74,309.45,349.73,396.73,440.67
61.98,100.36,134.95,177.88,221.53,266.87,309.57,349.89,396.82,440.72
61.96,100.44,134.95,177.85,221.61,266.98,309.69,349.93,397.0,440.77
61.99,100.47,134.99,177.81,221.81,267.08,309.76,350.0,397.09,440.85
62.01,100.42,135.08,177.92,221.9,267.1,309.83,350.01,397.26,440.98
61.99,100.48,135.08,178.05,221.96,267.18,309.8,350.09,397.24,441.04
62.0,100.48,135.19,178.16,222.01,267.24,309.86,350.12,397.41,441.04
61.97,100.53,135.28,178.28,222.01,267.3,309.88,350.15,397.54,441.17
61.98,100.52,135.22,178.26,221.93,267.27,310.05,350.08,397.55,441.38
62.0,100.59,135.22,178.25,221.91,267.38,310.09,350.12,397.64,441.44
62.07,100.67,135.25,178.35,221.95,267.36,310.14,350.22,397.7,441.57
62.12,100.73,135.3,178.41,221.97,267.36,310.18,350.35,397.73,441.6
62.1,100.71,135.3,178.52,222.06,267.4,310.32,350.47,397.86,441.84
62.02,100.75,135.38,178.65,222.19,267.5,310.39,350.63,397.9,441.95
62.1,100.77,135.37,178.68,222.15,267.58,310.55,350.72,397.97,441.97
62.05,100.68,135.42,178.7,222.17,267.64,310.54,350.8,398.12,442.0
62.11,100.71,135.49,178.7,222.29,267.68,310.63,350.81,398.16,442.06
62.04,100.71,135.53,178.67,222.39,267.74,310.67,351.07,398.29,442.17
62.02,100.66,135.61,178.76,222.36,267.85,310.81,351.16,398.46,442.3
62.03,100.66,135.6,178.75,222.45,267.88,310.96,351.28,398.45,442.44
62.03,100.62,135.7,178.8,222.57,267.91,310.87,351.35,398.49,442.51
62.14,100.63,135.72,178.84,222.61,267.99,310.99,351.41,398.66,442.63
62.16,100.69,135.71,178.91,222.65,268.14,310.91,351.43,398.81,442.72
62.15,100.72,135.75,178.98,222.61,268.19,311.04,351.41,398.81,442.73
62.08,100.7,135.82,179.04,222.72,268.3,310.99,351.45,398.97,442.79
62.15,100.63,135.9,179.13,222.82,268.42,311.02,351.52,399.08,442.81
62.18,100.62,135.85,179.24,222.85,268.52,311.13,351.69,399.09,442.89
62.07,100.65,135.94,179.32,222.93,268.58,311.23,351.7,399.15,442.96
62.12,100.61,135.82,179.43,222.98,268.63,311.28,351.74,399.2,443.06
62.13,100.59,135.89,179.42,222.95,268.7,311.34,351.85,399.31,443.27
62.18,100.54,135.86,179.44,222.99,268.73,311.37,351.97,399.38,443.39
62.18,100.6,135.83,179.49,223.03,268.87,311.42,351.93,399.48,443.41
62.2,100.55,135.85,179.48,223.05,269.01,311.41,351.96,399.65,443.46
62.21,100.5,135.87,179.56,223.11,269.14,311.47,352.0,399.71,443.6
62.19,100.39,135.93,179.67,223.15,269.26,311.61,352.08,399.74,443.79
62.25,100.43,135.96,179.72,223.2,269.36,311.57,352.21,399.91,443.91
62.21,100.49,136.05,179.78,223.19,269.51,311.73,352.4,400.05,444.03
62.27,100.51,136.08,179.89,223.32,269.61,311.83,352.51,400.2,444.2
62.32,100.56,136.13,179.78,223.38,269.72,312.03,352.56,400.29,444.28
62.31,100.52,136.16,179.93,223.3,269.79,312.08,352.69,400.34,444.47
62.26,100.58,136.16,179.91,223.23,269.86,312.14,352.66,400.44,444.49
62.25,100.56,136.23,179.9,223.33,269.93,312.27,352.83,400.53,444.59
62.33,100.73,136.24,179.87,223.36,269.92,312.3,353.02,400.55,444.66
62.39,100.78,136.28,179.84,223.44,270.08,312.38,353.12,400.65,444.92
62.35,100.71,136.3,179.94,223.48,270.1,312.44,353.17,400.75,445.13
62.36,100.75,136.43,180.03,223.54,270.21,312.56,353.27,400.72,445.3
62.4,100.78,136.41,180.06,223.58,270.23,312.56,353.44,400.81,445.49
62.45,100.78,136.51,180.08,223.7,270.24,312.57,353.44,400.77,445.53
62.56,100.87,136.53,180.09,223.74,270.29,312.62,353.44,400.88,445.63
62.38,100.94,136.52,179.96,223.72,270.36,312.59,353.53,400.97,445.71
62.46,100.88,136.54,179.9,223.69,270.42,312.67,353.55,401.12,445.79
