lambda_0.1,lambda_0.2,lambda_0.3,lambda_0.4,lambda_0.5,lambda_0.6,lambda_0.7,lambda_0.8,lambda_0.9,lambda_1.0
25.062,36.13,42.631,48.477,54.232,61.187,63.318,69.788,75.259,77.943
25.064,36.123,42.614,48.535,54.225,61.14,63.342,69.798,75.301,77.88
25.072,36.155,42.593,48.547,54.198,61.161,63.329,69.777,75.261,77.929
25.055,36.159,42.595,48.612,54.205,61.127,63.319,69.81,75.263,77.904
25.065,36.152,42.595,48.65,54.173,61.145,63.333,69.777,75.277,77.949
25.069,36.158,42.598,48.664,54.235,61.143,63.333,69.7,75.244,77.982
25.077,36.165,42.63,48.707,54.225,61.088,63.304,69.788,75.272,78.078
25.07,36.163,42.646,48.639,54.265,61.056,63.314,69.805,75.253,78.119
25.08,36.153,42.665,48.64,54.23,61.052,63.31,69.827,75.27,78.147
25.07,36.134,42.65,48.665,54.206,61.098,63.263,69.906,75.29,78.153
25.078,36.126,42.621,48.669,54.186,61.09,63.302,69.892,75.202,78.194
25.061,36.107,42.65,48.595,54.164,61.087,63.303,69.88,75.209,78.249
25.066,36.081,42.648,48.584,54.129,61.086,63.334,69.859,75.253,78.252
25.069,36.08,42.645,48.623,54.133,61.071,63.305,69.838,75.217,78.285
25.072,36.075,42.677,48.643,54.11,61.124,63.293,69.829,75.205,78.214
25.068,36.084,42.729,48.692,54.148,61.161,63.279,69.867,75.217,78.221
25.07,36.1,42.771,48.698,54.18,61.219,63.331,69.844,75.191,78.149
25.06,36.074,42.809,48.668,54.176,61.226,63.305,69.819,75.12,78.18
25.06,36.065,42.862,48.636,54.215,61.257,63.275,69.847,75.075,78.253
25.078,36.059,42.851,48.694,54.231,61.259,63.244,69.865,75.067,78.202
25.061,36.052,42.887,48.757,54.224,61.286,63.294,69.881,75.087,78.242
25.088,36.077,42.885,48.786,54.201,61.302,63.323,69.863,75.094,78.204
25.099,36.022,42.854,48.851,54.231,61.297,63.379,69.813,75.057,78.257
25.113,36.003,42.847,48.863,54.191,61.312,63.393,69.832,75.102,78.249
25.102,35.994,42.886,48.859,54.216,61.337,63.404,69.866,75.142,78.241
25.112,36.021,42.876,48.903,54.191,61.338,63.422,69.907,75.215,78.282
25.121,36.013,42.913,48.881,54.183,61.378,63.483,69.812,75.188,78.376
25.099,36.035,42.894,48.905,54.129,61.442,63.544,69.851,75.184,78.353
25.116,36.034,42.928,48.904,54.142,61.418,63.55,69.828,75.113,78.429
25.109,36.056,42.934,48.925,54.167,61.402,63.622,69.844,75.077,78.427
25.118,36.014,42.916,48.978,54.173,61.401,63.639,69.908,75.039,78.492
25.101,36.015,42.915,48.896,54.187,61.43,63.635,69.969,75.101,78.465
25.121,35.981,42.915,48.899,54.145,61.431,63.689,70.013,75.138,78.506
25.127,36.034,42.951,48.905,54.075,61.46,63.706,70.052,75.146,78.51
25.126,36.037,42.959,48.875,54.021,61.481,63.724,70.022,75.125,78.554
25.113,36.028,43.004,48.841,54.021,61.584,63.756,70.026,75.148,78.606
25.094,36.02,43.015,48.845,54.031,61.574,63.831,69.973,75.181,78.561
25.115,36.011,42.975,48.872,54.049,61.544,63.889,69.962,75.179,78.561
25.111,36.021,42.95,48.853,54.077,61.58,63.923,70.008,75.161,78.552
25.104,35.996,42.996,48.807,54.077,61.59,63.921,70.038,75.185,78.541
25.101,36.024,42.994,48.73,54.063,61.632,63.921,70.064,75.089,78.503
25.117,36.027,43.029,48.713,54.086,61.638,63.863,70.128,75.073,78.472
25.151,36.017,43.021,48.768,54.129,61.652,63.903,70.088,75.095,78.505
25.165,36.006,43.042,48.778,54.149,61.702,63.857,70.09,75.082,78.511
25.182,35.971,43.065,48.741,54.185,61.694,63.944,70.103,75.153,78.52
25.185,36.005,43.076,48.756,54.186,61.645,63.956,70.112,75.167,78.479
25.204,36.021,43.109,48.672,54.13,61.617,63.988,70.102,75.129,78.558
25.227,36.021,43.108,48.675,54.145,61.616,64.027,70.086,75.107,78.527
25.229,36.022,43.082,48.653,54.177,61.593,63.976,70.104,75.105,78.521
25.244,36.056,43.093,48.646,54.245,61.619,64.019,70.236,75.092,78.555
25.246,36.047,43.055,48.648,54.226,61.658,64.005,70.263,75.127,78.554
25.218,36.033,43.044,48.684,54.246,61.679,64.021,70.175,75.207,78.618
25.215,36.03,43.01,48.681,54.267,61.665,64.034,70.126,75.252,78.63
25.225,36.023,43.038,48.726,54.236,61.71,64.062,70.155,75.215,78.654
25.214,36.037,43.014,48.719,54.284,61.715,64.037,70.131,75.119,78.642
25.201,36.023,43.017,48.762,54.302,61.683,64.014,70.204,75.137,78.646
25.208,36.018,43.01,48.706,54.316,61.733,63.989,70.166,75.143,78.635
25.211,36.028,43.006,48.64,54.334,61.742,63.952,70.233,75.137,78.657
25.224,36.046,43.035,48.639,54.35,61.794,63.975,70.309,75.133,78.648
25.229,36.04,43.011,48.586,54.358,61.777,63.95,70.392,75.169,78.768
25.241,36.048,43.047,48.601,54.322,61.813,63.933,70.371,75.195,78.848
25.252,36.042,43.021,48.626,54.301,61.804,63.989,70.415,75.17,78.828
25.242,36.039,43.006,48.618,54.295,61.798,63.972,70.43,75.181,78.845
25.251,36.042,42.986,48.583,54.292,61.828,63.983,70.535,75.198,78.949
25.266,36.045,42.945,48.575,54.266,61.816,63.935,70.59,75.211,78.881
25.275,36.063,42.929,48.557,54.261,61.819,64.004,70.565,75.232,78.893
25.28,36.056,42.94,48.56,54.238,61.796,63.956,70.625,75.278,78.912
25.272,36.036,42.902,48.571,54.24,61.836,63.984,70.64,75.266,78.965
25.265,36.037,42.893,48.594,54.267,61.856,64.038,70.659,75.253,79.038
25.249,36.036,42.883,48.617,54.266,61.82,64.055,70.628,75.312,79.032
25.245,36.032,42.921,48.587,54.313,61.793,64.003,70.652,75.239,79.056
25.254,36.051,42.932,48.589,54.295,61.778,64.033,70.714,75.253,79.067
25.24,36.051,42.922,48.608,54.301,61.783,64.046,70.728,75.217,79.057
25.246,36.032,42.931,48.564,54.314,61.773,64.084,70.701,75.264,78.933
25.261,36.013,42.943,48.509,54.298,61.694,64.131,70.697,75.285,78.918
25.27,36.006,42.944,48.489,54.347,61.675,64.148,70.696,75.35,78.947
25.261,36.015,42.894,48.52,54.389,61.699,64.18,70.781,75.452,78.946
25.286,36.014,42.906,48.5,54.393,61.728,64.189,70.744,75.433,78.981
25.288,36.009,42.937,48.52,54.318,61.753,64.183,70.671,75.508,78.973
25.291,35.996,42.936,48.532,54.307,61.72,64.215,70.655,75.409,78.951
25.32,35.985,42.94,48.51,54.295,61.74,64.234,70.644,75.367,78.873
25.319,35.97,42.931,48.528,54.33,61.719,64.267,70.683,75.352,78.958
25.302,35.96,42.943,48.537,54.322,61.779,64.267,70.753,75.375,78.97
25.301,35.94,42.971,48.488,54.324,61.818,64.30900000000001,70.677,75.476,78.947
25.3,35.933,42.979,48.531,54.338,61.838,64.277,70.7,75.454,78.964
25.308,35.977,43.01,48.551,54.325,61.843,64.223,70.629,75.429,79.022
25.314,35.976,43.006,48.575,54.289,61.871,64.205,70.574,75.364,79.015
25.307,35.965,42.985,48.563,54.31099999999999,61.873,64.19,70.619,75.36,79.001
25.308,35.938,42.992,48.535,54.294,61.93,64.171,70.61,75.361,79.015
25.32,35.952,43.026,48.506,54.283,61.938,64.177,70.621,75.396,79.107
25.33,35.936,43.059,48.49,54.289,61.941,64.171,70.607,75.428,79.085
25.296,35.931,43.1,48.467,54.265,61.934,64.12,70.658,75.42,79.158
25.306,35.939,43.073,48.481,54.219,61.935,64.124,70.651,75.457,79.235
25.292,35.96,43.082,48.516,54.239,61.957,64.187,70.634,75.403,79.201
25.288,35.958,43.116,48.555,54.205,61.972,64.176,70.585,75.427,79.19400000000002
25.307,35.947,43.115,48.546,54.191,61.984,64.157,70.594,75.421,79.266
25.3,35.932,43.082,48.522,54.243,62.037,64.181,70.618,75.474,79.25
25.306,35.936,43.114,48.524,54.237,62.026,64.199,70.587,75.45,79.257
25.292,35.949,43.111,48.527,54.268,62.027,64.143,70.586,75.491,79.236
25.291,35.957,43.118,48.561,54.3,62.024,64.192,70.565,75.498,79.18
25.291,35.93,43.159,48.539,54.342,62.011,64.212,70.657,75.491,79.168
25.316,35.96,43.159,48.525,54.309,62.027,64.258,70.667,75.489,79.201
25.293,35.98,43.185,48.558,54.272,62.037,64.243,70.676,75.414,79.198
25.307,35.992,43.159,48.56,54.259,62.088,64.26,70.641,75.35,79.247
25.297,36.001,43.117,48.548,54.238,62.101000000000006,64.254,70.627,75.42,79.24
25.295,35.995,43.126,48.539,54.244,62.128,64.33,70.671,75.358,79.274
25.287,36.005,43.182,48.573,54.183,62.109,64.373,70.71,75.431,79.284
25.292,36.012,43.212,48.573,54.265,62.159,64.38499999999999,70.658,75.507,79.29
25.296,36.021,43.196,48.582,54.303,62.166,64.407,70.677,75.537,79.29
25.272,36.028,43.239,48.556,54.361,62.164,64.386,70.699,75.514,79.396
25.271,35.994,43.202,48.527,54.296,62.17799999999999,64.45,70.669,75.488,79.413
25.273,36.016,43.192,48.56,54.222,62.158,64.462,70.691,75.504,79.416
25.271,36.028,43.191,48.572,54.195,62.146,64.468,70.725,75.582,79.506
25.281,36.024,43.198,48.595,54.222,62.156,64.488,70.706,75.552,79.516
25.264,36.034,43.21,48.637,54.211,62.133,64.527,70.787,75.586,79.545
25.259,36.025,43.269,48.598,54.27,62.121,64.537,70.807,75.682,79.561
25.251,36.003,43.244,48.629,54.273,62.078,64.499,70.886,75.629,79.558
25.257,36.017,43.239,48.659,54.317,62.066,64.513,70.821,75.574,79.526
25.259,36.006,43.212,48.674,54.37,62.122,64.522,70.822,75.561,79.52900000000001
25.279,35.964,43.239,48.669,54.362,62.099,64.547,70.865,75.59,79.522
25.299,35.959,43.236,48.72,54.365,62.077,64.517,70.84,75.597,79.49
25.31,35.969,43.251,48.754,54.318,62.098,64.517,70.846,75.633,79.545
25.308,35.965,43.245,48.748,54.273,62.117,64.534,70.827,75.672,79.575
25.291,35.965,43.236,48.747,54.28,62.092,64.531,70.834,75.716,79.612
25.301,35.969,43.241,48.751,54.271,62.088,64.547,70.811,75.738,79.628
25.309,35.978,43.23,48.761,54.251,62.138,64.542,70.867,75.879,79.63
25.318,36.01,43.225,48.713,54.268,62.092,64.607,70.874,75.754,79.65099999999998
25.316,36.015,43.214,48.721,54.294,62.118,64.603,70.931,75.734,79.646
25.296,36.041,43.148,48.702,54.273,62.106,64.586,70.869,75.77,79.669
25.308,36.043,43.16,48.709,54.287,62.104,64.627,70.838,75.769,79.698
25.307,36.074,43.141,48.737,54.285,62.141,64.658,70.942,75.805,79.656
25.284,36.061,43.123,48.783,54.324,62.146,64.648,70.985,75.849,79.694
25.293,36.066,43.104,48.799,54.341,62.11399999999999,64.639,70.913,75.841,79.72200000000001
25.299,36.063,43.105,48.792,54.35,62.073,64.661,70.973,75.937,79.735
25.304,36.079,43.088,48.754,54.332,62.06,64.628,70.987,75.973,79.841
25.313,36.091,43.051,48.726,54.356,62.064,64.601,71.035,75.972,79.904
25.329,36.069,43.011,48.703,54.344,62.074,64.593,71.039,75.973,79.946
25.325,36.071,43.033,48.743,54.375,62.053,64.605,71.055,76.038,80.007
25.305,36.053,43.027,48.784,54.329,62.064,64.558,71.036,75.993,80.01099999999998
25.313,36.053,43.038,48.807,54.41,62.082,64.558,71.06999999999998,75.941,79.915
25.302,36.083,43.039,48.855,54.437,62.216,64.512,71.078,75.986,79.859
25.301,36.078,43.073,48.853,54.414,62.26,64.478,71.076,75.979,79.864
25.314,36.1,43.078,48.787,54.431,62.255,64.476,71.072,75.938,79.914
25.317,36.117,43.104,48.784,54.418,62.265,64.414,71.053,75.938,79.853
25.309,36.098,43.107,48.738,54.501,62.288,64.404,70.981,75.963,79.919
25.304,36.103,43.081,48.744,54.521,62.309,64.38900000000001,71.02,76.067,79.903
25.28,36.12,43.091,48.811,54.547,62.365,64.375,71.005,76.139,79.976
25.269,36.153,43.092,48.808,54.604,62.342,64.352,71.042,76.181,80.015
25.256,36.144,43.111,48.816,54.608,62.338,64.377,71.019,76.136,80.01
25.264,36.142,43.148,48.781,54.606,62.326,64.425,71.117,76.162,80.04799999999999
25.261,36.151,43.153,48.777,54.605,62.329,64.397,71.132,76.142,79.983
25.258,36.147,43.126,48.806,54.577,62.313,64.458,71.131,76.162,80.049
25.247,36.149,43.139,48.831,54.614,62.346,64.538,71.176,76.204,80.046
25.253,36.167,43.164,48.842,54.691,62.325,64.593,71.187,76.192,80.091
25.239,36.174,43.176,48.86,54.696,62.348,64.593,71.153,76.136,80.082
25.251,36.204,43.166,48.807,54.737,62.361000000000004,64.583,71.108,76.194,80.143
25.267,36.203,43.17,48.785,54.734,62.361,64.513,71.102,76.153,80.196
25.258,36.221,43.143,48.755,54.678,62.332,64.52,71.146,76.16,80.212
25.263,36.224,43.115,48.808,54.665,62.297,64.55199999999999,71.181,76.218,80.207
25.295,36.2,43.12,48.784,54.72,62.343,64.561,71.127,76.213,80.175
25.277,36.232,43.136,48.769,54.772,62.395,64.469,71.138,76.226,80.118
25.276,36.242,43.112,48.772,54.789,62.37,64.44,71.119,76.223,80.15
25.291,36.244,43.129,48.783,54.788,62.432,64.491,71.102,76.16,80.18
25.299,36.252,43.134,48.829,54.78,62.422,64.444,71.114,76.179,80.169
25.308,36.268,43.12,48.828,54.783,62.446,64.488,71.08,76.259,80.161
25.31,36.292,43.13,48.812,54.746,62.47,64.458,71.105,76.247,80.165
25.316,36.29,43.125,48.809,54.75,62.44,64.514,71.151,76.269,80.16
25.312,36.321,43.12,48.814,54.823,62.46799999999999,64.515,71.19,76.229,80.198
25.306,36.301,43.104,48.784,54.845,62.49,64.534,71.154,76.306,80.242
25.331,36.314,43.13,48.798,54.802,62.488,64.515,71.203,76.31,80.282
25.318,36.313,43.141,48.803,54.781,62.508,64.503,71.258,76.433,80.282
25.324,36.3,43.159,48.828,54.80799999999999,62.53,64.538,71.281,76.438,80.244
25.333,36.301,43.16,48.834,54.832,62.541,64.563,71.314,76.461,80.25799999999998
25.326,36.326,43.213,48.83,54.844,62.578,64.572,71.312,76.445,80.29999999999998
25.314,36.343,43.175,48.813,54.849,62.585,64.56,71.336,76.467,80.322
25.331,36.375,43.157,48.816,54.875,62.647000000000006,64.567,71.262,76.404,80.373
25.325,36.398,43.165,48.827,54.889,62.686,64.594,71.284,76.421,80.437
25.326,36.383,43.225,48.816,54.957,62.65,64.621,71.329,76.461,80.455
25.322,36.404,43.202,48.843,54.98400000000001,62.644,64.646,71.321,76.46,80.438
25.335,36.383,43.177,48.885,55.044,62.62100000000001,64.6,71.375,76.526,80.432
25.323,36.374,43.173,48.91,55.054,62.566,64.619,71.363,76.592,80.41
25.329,36.386,43.164,48.939,55.101,62.614,64.669,71.375,76.612,80.339
25.339,36.396,43.188,48.993,55.1,62.59,64.708,71.348,76.69,80.33100000000002
25.321,36.441,43.191,48.97,55.112,62.615,64.756,71.349,76.706,80.278
25.343,36.471,43.156,48.985,55.071,62.61999999999999,64.779,71.37,76.739,80.237
25.365,36.49,43.177,48.957,55.038,62.628,64.801,71.363,76.758,80.333
25.355,36.506,43.185,48.98,55.045,62.656,64.797,71.383,76.808,80.391
25.378,36.482,43.158,48.996,55.092,62.67499999999999,64.823,71.395,76.827,80.34
25.383,36.459,43.152,49.011,55.082,62.687,64.85499999999999,71.347,76.847,80.38
25.381,36.46,43.144,49.053,55.103,62.777,64.921,71.307,76.901,80.38899999999998
25.415,36.428,43.153,49.08100000000001,55.089,62.832,64.889,71.303,76.801,80.393
25.421,36.405,43.125,49.134,55.114,62.77,64.96,71.295,76.788,80.451
25.429,36.419,43.131,49.136,55.088,62.777,65.024,71.254,76.782,80.407
25.414,36.447,43.111,49.167,55.108,62.754,65.022,71.282,76.76,80.42200000000001
25.413,36.452,43.099,49.185,55.139,62.778,65.014,71.296,76.796,80.429
25.446,36.439,43.109,49.2,55.156,62.75999999999999,65.034,71.288,76.797,80.389
25.43,36.411,43.106,49.203,55.146,62.718999999999994,65.002,71.306,76.851,80.34300000000002
25.436,36.393,43.13,49.207,55.128,62.753,64.998,71.272,76.877,80.383
25.445,36.399,43.056,49.197,55.123,62.696000000000005,65.024,71.323,76.791,80.372
25.427,36.385,43.037,49.192,55.121,62.713,65.04899999999999,71.25,76.768,80.442
25.434,36.376,43.056,49.202,55.139,62.679,65.039,71.249,76.763,80.46600000000001
25.431,36.391,43.084,49.179,55.105,62.631,65.06800000000001,71.307,76.844,80.396
25.425,36.415,43.047,49.152,55.092,62.688,65.068,71.354,76.921,80.37199999999999
25.455,36.403,43.057,49.144,55.09,62.706,65.049,71.347,76.936,80.346
25.454,36.413,43.059,49.162,55.08899999999999,62.735,65.003,71.349,76.956,80.336
25.458,36.415,43.087,49.182,55.125,62.784,64.997,71.411,76.926,80.362
25.47,36.41,43.11,49.204,55.15,62.783,65.007,71.443,76.882,80.367
25.489,36.416,43.114,49.245,55.143,62.721,64.963,71.454,76.925,80.396
25.516,36.414,43.11,49.27,55.133,62.737,64.95299999999999,71.476,76.9,80.3
25.51,36.424,43.095,49.318,55.147,62.706,64.949,71.472,76.897,80.271
25.488,36.437,43.096,49.292,55.12,62.676,64.98400000000001,71.492,76.967,80.293
25.494,36.44,43.047,49.306,55.111,62.697,64.964,71.528,76.984,80.259
25.506,36.421,43.05,49.326,55.139,62.67,64.971,71.501,76.984,80.261
25.524,36.464,43.078,49.345,55.107,62.643,64.993,71.549,76.928,80.31400000000002
25.55,36.441,43.101,49.359,55.114,62.707,65.018,71.583,76.853,80.283
25.544,36.459,43.127,49.35,55.125,62.692,65.026,71.591,76.88,80.324
25.564,36.493,43.139,49.302,55.138999999999996,62.687,65.076,71.539,76.89,80.322
25.584,36.503,43.181,49.303,55.15699999999999,62.683,65.087,71.507,76.866,80.309
25.58,36.508,43.207,49.278,55.16599999999999,62.715,65.04499999999999,71.566,76.797,80.341
25.594,36.486,43.198,49.288,55.151,62.74700000000001,65.099,71.576,76.797,80.319
25.573,36.503,43.182,49.298,55.158,62.727,65.143,71.64,76.773,80.333
25.584,36.512,43.18,49.324,55.143,62.722,65.091,71.674,76.738,80.307
25.593,36.503,43.198,49.354000000000006,55.109,62.742,65.055,71.675,76.788,80.247
25.569,36.516,43.181,49.287,55.086000000000006,62.75099999999999,65.056,71.74,76.827,80.292
25.547,36.522,43.171,49.293,55.093,62.763,65.09899999999999,71.747,76.818,80.439
25.558,36.538,43.119,49.317,55.121,62.8,65.103,71.779,76.848,80.486
25.577,36.562,43.141,49.28,55.127,62.86,65.104,71.766,76.844,80.44899999999998
25.59,36.592,43.147,49.276,55.144,62.867000000000004,65.05600000000001,71.73,76.757,80.48699999999998
25.615,36.571,43.125,49.31,55.15,62.918000000000006,64.959,71.698,76.74,80.491
25.627,36.578,43.124,49.304,55.164,62.916,64.96800000000002,71.714,76.76,80.504
25.628,36.591,43.081,49.329,55.207,62.918,64.989,71.74,76.762,80.453
25.63,36.623,43.068,49.358,55.21799999999999,62.944,64.986,71.709,76.767,80.454
25.637,36.611,43.082,49.387,55.216,62.908,64.943,71.748,76.822,80.569
25.639,36.599,43.092,49.386,55.189,62.953,64.903,71.791,76.824,80.583
25.644,36.57,43.08,49.391,55.21,62.929,64.95899999999999,71.813,76.805,80.601
25.63,36.578,43.094,49.386,55.241,62.87200000000001,64.978,71.773,76.816,80.622
25.623,36.569,43.066,49.369,55.258,62.857,64.934,71.793,76.786,80.62400000000001
25.623,36.614,43.076,49.38,55.291,62.84400000000001,64.96,71.756,76.76,80.616
25.638,36.659,43.072,49.396,55.276,62.86300000000001,65.015,71.78499999999998,76.767,80.595
25.637,36.644,43.054,49.394,55.314,62.821,65.087,71.816,76.779,80.617
25.637,36.66,43.027,49.4,55.35,62.866,65.125,71.861,76.83400000000002,80.649
25.637,36.686,43.015,49.37,55.328,62.872,65.152,71.804,76.802,80.72400000000002
25.636,36.716,43.049,49.39,55.319,62.83,65.133,71.792,76.813,80.731
25.669,36.712,43.055,49.39,55.327,62.854,65.16900000000001,71.836,76.781,80.735
25.662,36.746,43.073,49.421,55.341,62.83700000000001,65.177,71.81,76.743,80.762
25.679,36.743,43.089,49.463,55.308,62.856,65.212,71.867,76.747,80.803
25.692,36.731,43.077,49.434,55.304,62.868,65.285,71.898,76.751,80.701
25.678,36.739,43.118,49.399,55.274,62.824,65.327,71.882,76.744,80.703
25.688,36.721,43.105,49.457,55.307,62.76,65.279,71.848,76.793,80.661
25.692,36.718,43.098,49.43,55.299,62.785,65.333,71.865,76.834,80.623
25.696,36.721,43.092,49.453,55.323,62.777,65.31,71.818,76.812,80.605
25.709,36.705,43.076,49.482,55.393,62.754999999999995,65.313,71.793,76.908,80.654
25.694,36.652,43.085,49.482,55.416,62.762,65.295,71.741,76.918,80.658
25.72,36.675,43.128,49.456,55.397,62.831,65.31200000000001,71.808,76.933,80.737
25.722,36.69,43.08,49.47,55.379,62.824,65.324,71.83,76.933,80.748
25.737,36.669,43.118,49.471,55.357,62.843,65.30699999999999,71.843,76.946,80.837
25.747,36.672,43.084,49.481,55.41,62.735,65.34,71.799,76.922,80.802
25.74,36.654,43.117,49.468,55.443,62.726000000000006,65.30799999999999,71.844,76.967,80.816
25.746,36.688,43.134,49.439,55.463,62.677,65.263,71.828,77.047,80.841
25.766,36.687,43.127,49.435,55.481,62.717,65.308,71.857,77.038,80.808
25.803,36.656,43.128,49.429,55.47899999999999,62.684,65.277,71.843,77.009,80.749
25.809,36.659,43.124,49.448,55.49,62.723000000000006,65.223,71.854,77.023,80.774
25.799,36.636,43.14,49.455,55.517,62.74700000000001,65.18299999999999,71.95,77.086,80.763
25.794,36.665,43.139,49.496,55.514,62.782,65.163,71.983,77.08000000000001,80.803
25.802,36.652,43.134,49.459,55.564,62.75,65.133,71.985,77.11300000000001,80.84
25.821,36.697,43.149,49.468,55.526,62.76500000000001,65.148,71.996,77.043,80.84200000000001
25.837,36.716,43.16,49.454,55.491,62.775,65.175,72.053,77.054,80.855
25.822,36.726,43.144,49.463,55.493,62.745000000000005,65.177,71.997,77.11199999999998,80.804
25.81,36.742,43.146,49.494,55.558,62.761,65.194,71.982,77.158,80.8
25.81,36.757,43.134,49.546,55.575,62.76700000000001,65.211,71.956,77.198,80.9
25.807,36.763,43.143,49.607,55.601,62.76800000000001,65.21,71.985,77.258,80.898
25.8,36.762,43.14,49.631,55.627,62.821,65.187,71.982,77.246,80.885
25.772,36.767,43.183,49.637,55.638,62.774,65.076,71.943,77.303,80.877
25.776,36.765,43.17,49.623,55.649,62.80200000000001,64.993,71.894,77.228,80.759
25.797,36.745,43.203,49.619,55.645,62.779,65.005,71.965,77.251,80.743
25.789,36.736,43.26,49.642,55.639,62.75900000000001,65.018,72.0,77.255,80.769
25.773,36.742,43.238,49.606,55.593,62.749,65.093,71.988,77.274,80.738
25.771,36.764,43.254,49.619,55.629,62.789,65.144,71.945,77.255,80.72
25.779,36.794,43.261,49.615,55.638,62.782,65.066,71.986,77.277,80.712
25.77,36.733,43.304,49.634,55.683,62.728,65.042,72.033,77.303,80.767
25.794,36.762,43.323,49.64,55.695,62.74,65.054,71.962,77.249,80.738
25.794,36.747,43.34,49.642,55.738,62.768,65.072,71.947,77.271,80.832
25.793,36.778,43.337,49.691,55.753,62.785,65.127,71.891,77.29,80.975
25.817,36.796,43.388,49.748,55.791,62.816,65.121,71.909,77.264,81.01
25.839,36.843,43.426,49.747,55.777,62.843,65.147,71.897,77.224,81.02599999999998
25.83,36.828,43.498,49.783,55.744,62.87,65.112,71.923,77.252,81.04199999999999
25.839,36.812,43.521,49.783,55.765,62.901,65.096,71.916,77.219,81.043
25.872,36.81,43.538999999999994,49.75,55.86,62.891000000000005,65.11,71.935,77.228,81.012
25.872,36.818,43.524,49.757,55.897,62.88300000000001,65.148,71.89,77.19,81.02499999999999
25.867,36.825,43.542,49.75,55.903,62.879,65.092,71.868,77.172,81.03799999999998
25.864,36.765,43.584,49.82,55.883,62.91199999999999,65.069,71.872,77.146,81.074
25.858,36.747,43.589,49.846,55.88799999999999,62.94,65.112,71.853,77.176,81.139
25.848,36.707,43.622,49.809,55.886,62.988,65.113,71.876,77.231,81.118
25.873,36.701,43.593,49.808,55.926,62.995,65.085,71.904,77.25,81.18199999999999
25.887,36.697,43.596,49.752,55.947,63.043,65.075,71.892,77.216,81.12799999999999
25.909,36.7,43.594,49.744,55.966,63.093,65.029,71.872,77.235,81.179
25.937,36.731,43.631,49.751,55.989999999999995,63.107,65.05,71.917,77.276,81.261
25.923,36.744,43.625,49.768,55.943999999999996,63.13499999999999,65.056,71.875,77.269,81.36999999999999
25.938,36.768,43.638,49.744,55.962,63.09199999999999,65.026,71.819,77.348,81.338
25.935,36.765,43.631,49.709,56.010999999999996,63.091,65.024,71.794,77.369,81.276
25.939,36.746,43.673,49.747,56.083,63.131,65.016,71.853,77.44,81.382
25.926,36.73,43.662,49.738,56.105,63.171,65.016,71.869,77.482,81.352
25.911,36.741,43.683,49.772,56.04399999999999,63.151,65.07799999999999,71.839,77.488,81.349
25.913,36.734,43.731,49.791,56.04,63.091,65.02699999999999,71.85,77.566,81.434
25.941,36.739,43.718,49.806,56.038,63.0,65.001,71.795,77.659,81.494
25.941,36.722,43.686,49.862,56.042,63.059999999999995,64.997,71.83,77.641,81.45799999999998
25.964,36.709,43.711,49.904,56.061,63.016,65.009,71.847,77.651,81.46199999999999
25.996,36.688,43.736,49.857,56.02,62.979,64.98899999999999,71.85,77.62,81.555
25.989,36.675,43.722,49.843,56.026999999999994,62.99,64.982,71.893,77.656,81.564
25.975,36.649,43.754,49.844,56.086999999999996,63.022,64.994,71.811,77.717,81.58499999999998
25.969,36.676,43.788,49.858,56.111999999999995,62.995,64.96199999999999,71.76,77.737,81.557
25.942,36.685,43.791,49.836,56.166,63.067,64.968,71.806,77.757,81.553
25.949,36.685,43.82999999999999,49.812,56.196,63.012,64.961,71.881,77.785,81.533
25.948,36.647,43.85,49.799,56.239000000000004,63.035,64.943,71.899,77.805,81.517
25.938,36.622,43.845,49.843,56.185,63.086000000000006,65.016,71.868,77.795,81.531
25.944,36.615,43.863,49.863,56.192,63.065,65.009,71.875,77.85,81.529
25.923,36.628,43.853,49.849,56.169,63.079,65.054,71.893,77.92,81.586
25.929,36.644,43.879,49.86,56.188,63.059,64.99600000000001,71.898,77.874,81.549
25.955,36.627,43.883,49.846,56.183,63.018,65.02900000000001,71.868,77.841,81.526
25.954,36.603,43.883,49.839,56.167,63.076,65.044,71.847,77.79899999999999,81.467
25.958,36.584,43.905,49.821,56.16,63.065,65.07199999999999,71.937,77.76499999999999,81.55600000000001
25.954,36.601,43.917,49.77,56.135,63.098,65.05,71.953,77.896,81.51900000000003
25.947,36.593,43.894,49.764,56.155,63.007,65.05,71.999,77.94,81.575
25.947,36.565,43.90800000000001,49.781,56.178,63.0,65.062,71.995,77.98,81.572
25.974,36.568,43.849,49.78,56.156,63.008,65.04,72.013,77.958,81.501
26.009,36.572,43.856,49.745,56.182,63.012,65.038,72.04,77.993,81.538
26.0,36.559,43.916,49.751,56.188,63.062,64.98,71.968,77.982,81.53100000000002
25.988,36.581,43.9,49.722,56.21900000000001,63.094,65.009,72.005,78.036,81.528
25.983,36.569,43.932,49.735,56.18800000000001,63.104,64.984,72.04,78.036,81.51799999999999
26.005,36.577,43.979,49.715,56.18100000000001,63.118,64.98500000000001,72.108,78.025,81.539
25.997,36.59,44.009,49.761,56.18200000000001,63.096,64.935,72.137,78.023,81.47
26.006,36.578,44.00999999999999,49.813,56.186000000000014,63.026,64.903,72.223,78.124,81.513
26.01,36.586,44.004,49.813,56.13900000000002,63.014999999999986,64.962,72.242,78.079,81.49
25.979,36.598,44.022,49.846,56.17,63.046,64.99999999999999,72.274,78.094,81.525
